City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,san patricio,28.017,-97.5169,25.97,76,4,6.79,US,1729388240
84,ternate,0.8,127.4,28.85,72,67,4.1,ID,1729388025
85,karratha,-20.7377,116.8463,28.13,50,0,5.63,AU,1729388242
86,hawaiian paradise park,19.5933,-154.9731,27.73,70,20,4.63,US,1729388244
87,salida,37.7058,-121.0849,23.03,32,0,2.06,US,1729388219
88,ola,59.5833,151.2833,-5.5,53,27,4.91,RU,1729388246
89,bijawar,24.6333,79.5,24.21,60,3,1.53,IN,1729388247
90,petrolina,-9.3986,-40.5008,28.03,65,0,4.12,BR,1729388248
91,bambanglipuro,-7.95,110.2833,27.91,72,100,2.82,ID,1729388250
92,estacion coahuila,32.1939,-115.0017,22.48,25,0,2.27,MX,1729388251
93,rudsar,37.1376,50.288,17.53,94,100,3.01,IR,1729388252
94,fish town,5.1964,-7.8756,20.77,99,63,0.87,LR,1729388253
95,comalapa,14.7411,-90.8875,13.9,99,100,0.25,GT,1729388254
96,west island,-12.1568,96.8225,26.99,65,20,6.69,CC,1729388256
97,nanning,22.8167,108.3167,25.25,68,25,1.88,CN,1729388257
98,song cau,13.45,109.2167,28.07,70,100,2.41,VN,1729388258
99,udachny,66.4167,112.4,-13.38,94,98,2.81,RU,1729388259
100,port alfred,-33.5906,26.891,14.54,99,100,2.62,ZA,1729388260
101,puerto ayora,-0.7393,-90.3518,20.86,96,100,2.24,EC,1729388261
102,prince rupert,54.3161,-130.3201,8.83,91,100,6.17,CA,1729388263
103,tougan,13.0667,-3.0667,28.21,51,19,2.26,BF,1729388264
104,muisne,0.6,-80.0333,24.46,83,100,4.26,EC,1729388265
105,castillos,-34.1667,-53.8333,11.88,92,11,2.32,UY,1729388267
106,noosa heads,-26.3833,153.15,22.79,71,10,7.64,AU,1729388268
107,selkirk,50.1436,-96.8845,10.1,85,12,3.13,CA,1729388270
108,port elizabeth,-33.918,25.5701,14.62,86,0,3.6,ZA,1729388175
109,ballina,-28.8667,153.5667,22.03,65,0,6.85,AU,1729388272
110,kalinovskaya,43.5758,45.5192,8.6,63,91,2.52,RU,1729388273
111,acarau,-2.8856,-40.12,25.89,83,46,7.9,BR,1729388274
112,deir ez-zor,35.3359,40.1408,14.34,23,0,3.96,SY,1729388275
113,murzuq,25.9155,13.9184,22.67,28,0,2.31,LY,1729388277
114,kabare,-2.4683,28.8242,16.7,91,100,0.55,CD,1729388278
115,puerto baquerizo moreno,-0.9,-89.6,21.08,89,100,4.9,EC,1729388279
116,kapa'a,22.0752,-159.319,29.18,80,20,6.17,US,1729388280
117,padang,-0.9492,100.3543,28.03,72,100,0.52,ID,1729388173
118,dunedin,-45.8742,170.5036,14.57,75,100,2.0,NZ,1729388282
119,dudinka,69.4058,86.1778,-3.73,94,100,9.61,RU,1729388284
120,elkins,38.9259,-79.8467,10.29,80,0,0.0,US,1729388285
121,bengkulu,-3.8004,102.2655,28.13,66,25,0.64,ID,1729388286
122,dolores,-36.3132,-57.6792,16.55,91,28,5.14,AR,1729388287
123,salalah,17.0151,54.0924,25.05,78,0,1.54,OM,1729388288
124,qaqortoq,60.7167,-46.0333,-0.4,49,2,0.83,GL,1729388289
125,carauari,-4.8828,-66.8958,23.59,93,83,1.1,BR,1729388290
126,mariental,-24.6333,17.9667,15.59,31,5,4.28,NA,1729388292
127,kodiak,57.79,-152.4072,7.73,46,0,9.26,US,1729387996
128,el calafate,-50.3408,-72.2768,8.24,84,18,3.86,AR,1729388294
129,ust-nera,64.5667,143.2,-11.07,88,100,1.86,RU,1729388295
130,nuku'alofa,-21.1333,-175.2,28.19,83,40,10.29,TO,1729388296
131,jayapura,-2.5333,140.7,31.66,66,100,1.99,ID,1729388297
132,kencong,-8.2833,113.3667,29.4,65,24,1.8,ID,1729388298
133,lebu,-37.6167,-73.65,10.99,78,95,5.73,CL,1729388300
134,pacasmayo,-7.4006,-79.5714,17.54,86,31,4.88,PE,1729388301
135,springbok,-29.6643,17.8865,6.16,76,0,1.6,ZA,1729388302
136,hilo,19.7297,-155.09,27.85,74,20,4.63,US,1729388303
137,college,64.8569,-147.8028,-8.85,76,100,2.57,US,1729388304
138,thompson,55.7435,-97.8558,5.09,70,20,3.09,CA,1729388305
139,argostolion,38.1811,20.489,16.53,48,100,3.75,GR,1729388306
140,anadyr,64.75,177.4833,3.28,86,100,8.0,RU,1729388308
141,as sulayyil,20.4607,45.5779,27.49,30,87,2.66,SA,1729388309
142,amga,60.8953,131.9608,-12.03,88,95,0.17,RU,1729388310
143,amursk,50.2261,136.8994,0.21,41,0,4.25,RU,1729388311
144,magadan,59.5667,150.8,-6.82,61,82,3.05,RU,1729388312
145,lihue,21.9789,-159.3672,28.77,70,20,6.17,US,1729388313
146,murrells inlet,33.551,-79.0414,15.03,71,0,3.6,US,1729388033
147,utrik,11.2278,169.8474,28.13,81,71,8.37,MH,1729388316
148,carnarvon,-24.8667,113.6333,21.81,62,98,4.73,AU,1729388317
149,kasongo-lunda,-6.4667,16.8167,20.64,98,96,0.34,CD,1729388318
150,kamaishi,39.2667,141.8833,12.16,41,6,2.54,JP,1729388319
151,tura,25.5198,90.2201,24.23,78,0,0.62,IN,1729388320
152,bamboo flat,11.7,92.7167,26.05,94,75,1.03,IN,1729388321
153,mount gambier,-37.8333,140.7667,19.43,49,71,3.17,AU,1729388322
154,serdar,38.9764,56.2757,14.98,72,1,2.08,TM,1729388324
155,sao goncalo do amarante,-3.6072,-38.9683,27.29,77,31,4.79,BR,1729388325
156,tynda,55.1667,124.7167,-5.68,63,98,0.55,RU,1729388326
157,farkhar,36.5729,69.8578,15.25,34,0,3.71,AF,1729388327
158,nizip,37.0097,37.7942,7.07,31,0,3.83,TR,1729388328
159,polyarnyy,69.1989,33.4478,6.12,91,100,4.73,RU,1729388218
160,zhangatas,43.5667,69.75,6.69,66,100,3.74,KZ,1729388330
161,bulgan,48.8125,103.5347,-1.38,93,100,2.52,MN,1729388332
162,arraial do cabo,-22.9661,-42.0278,21.14,94,100,9.19,BR,1729388333
163,nizhneangarsk,55.7833,109.55,-3.13,68,71,0.73,RU,1729388334
164,port-vila,-17.7338,168.3219,27.78,51,20,4.12,VU,1729388335
165,pisco,-13.7,-76.2167,18.03,88,0,6.17,PE,1729388336
166,flying fish cove,-10.4217,105.6791,22.82,100,75,2.57,CX,1729388337
167,nurota,40.5614,65.6886,15.12,26,0,0.94,UZ,1729388339
168,essaouira,31.5125,-9.77,21.72,73,41,5.14,MA,1729388340
169,alvaraes,-3.2208,-64.8042,23.34,94,54,1.66,BR,1729388341
170,san lawrenz,36.0553,14.204,21.41,67,1,4.71,MT,1729388342
171,guerrero negro,27.9769,-114.0611,18.99,74,0,4.89,MX,1729388343
172,walvis bay,-22.9575,14.5053,13.53,88,0,5.66,NA,1729388346
173,tolanaro,-25.0319,46.9987,22.04,88,20,5.14,MG,1729388347
174,kavaratti,10.5669,72.642,27.53,77,20,1.55,IN,1729388348
175,rio grande,-32.035,-52.0986,16.58,84,0,4.81,BR,1729388349
176,santanyi,39.3546,3.1291,17.22,61,100,1.77,ES,1729388350
177,la ronge,55.1001,-105.2842,8.12,61,75,2.57,CA,1729388351
178,susuman,62.7833,148.1667,-13.65,84,100,1.96,RU,1729388352
179,es castell,39.8795,4.2854,16.38,82,20,3.09,ES,1729388354
180,waiuku,-37.25,174.75,19.81,60,49,1.31,NZ,1729388355
181,pyin oo lwin,22.0333,96.4667,21.25,85,35,1.07,MM,1729388356
182,le port,-20.9373,55.2919,21.98,76,0,3.29,RE,1729388357
183,hun,29.1268,15.9477,23.79,29,7,3.93,LY,1729388358
184,avarua,-21.2078,-159.775,26.03,73,75,9.77,CK,1729388359
185,kiunga,-6.1219,141.2906,32.4,53,100,1.29,PG,1729388362
186,uturoa,-16.7333,-151.4333,26.38,80,70,8.68,PF,1729388364
187,san jose de jachal,-30.2406,-68.7469,24.75,47,0,1.48,AR,1729388365
188,talnakh,69.4865,88.3972,-5.59,93,100,7.13,RU,1729388366
189,tual,-5.6667,132.75,28.12,79,73,5.85,ID,1729388368
190,el tigre,8.8875,-64.2454,27.12,70,99,4.98,VE,1729388211
191,moanda,-1.5575,13.2178,21.02,99,97,1.0,GA,1729388370
192,loukhi,66.0764,33.0381,9.12,95,100,2.52,RU,1729388371
193,smithers,54.7804,-127.1743,5.18,93,100,1.03,CA,1729388372
194,margherita,27.2833,95.6833,24.1,70,100,0.71,IN,1729388373
195,olingan,8.5314,123.3194,29.38,77,89,2.59,PH,1729388375
196,antofagasta,-23.65,-70.4,15.6,77,0,0.75,CL,1729387920
197,tahe,52.3333,124.7333,2.92,34,38,3.15,CN,1729388377
198,klyuchi,52.2667,79.1667,1.38,66,60,2.26,RU,1729388378
199,itoman,26.1247,127.6694,30.43,76,20,7.2,JP,1729388379
200,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,54,40,5.0,RU,1729388380
201,vadso,70.0744,29.7487,6.09,93,100,2.06,NO,1729388381
202,kununurra,-15.7667,128.7333,31.99,55,86,2.06,AU,1729388383
203,kani keli,-12.9536,45.1033,23.59,76,3,2.23,YT,1729388384
204,kattivakkam,13.2167,80.3167,27.28,99,68,0.62,IN,1729388385
205,augusto correa,-1.0217,-46.635,25.08,85,11,1.39,BR,1729388386
206,vila franca do campo,37.7167,-25.4333,20.23,99,100,5.88,PT,1729388387
207,saint-pierre,-21.3393,55.4781,21.82,68,0,2.57,RE,1729388388
208,saint-gaudens,43.0833,0.6667,13.73,68,100,2.33,FR,1729388390
209,iskateley,67.6803,53.1512,4.8,70,100,7.87,RU,1729388260
210,villa emilio carranza,19.9667,-96.6,24.38,84,60,5.41,MX,1729388392
211,rongelap,11.1635,166.8941,28.35,80,80,7.74,MH,1729388393
212,peace river,56.2501,-117.286,5.17,81,100,5.14,CA,1729388394
213,port lincoln,-34.7333,135.8667,17.23,68,14,5.73,AU,1729388395
214,bathsheba,13.2167,-59.5167,25.34,88,75,1.54,BB,1729388398
215,ribeira brava,32.65,-17.0667,21.35,80,26,0.44,PT,1729388399
216,champerico,14.3,-91.9167,25.79,90,100,4.89,GT,1729388400
217,keetmanshoop,-26.5833,18.1333,13.51,41,0,2.06,NA,1729388402
218,portland,45.5234,-122.6762,19.23,74,100,0.89,US,1729388403
219,la passe,45.5549,-0.8967,14.74,94,96,3.18,FR,1729388404
220,jilib,0.4883,42.7854,22.72,95,17,1.4,SO,1729388405
221,askiz,53.1319,90.5264,-1.02,81,84,2.27,RU,1729388406
222,werota,11.9167,37.7,15.55,76,100,2.05,ET,1729388408
223,howard springs,-12.497,131.047,33.32,69,34,1.04,AU,1729388409
224,kuala belait,4.5833,114.1833,25.93,80,100,1.15,BN,1729388410
225,keflavik,64.0049,-22.5624,4.24,93,75,5.66,IS,1729388411
226,toliara,-23.35,43.6667,21.31,85,0,2.61,MG,1729388412
227,wailua homesteads,22.0669,-159.378,28.44,78,20,6.17,US,1729388413
228,minab,27.1467,57.0801,26.78,59,0,0.76,IR,1729388415
229,taltal,-25.4,-70.4833,15.26,80,0,1.74,CL,1729387820
230,berbera,10.4396,45.0143,28.86,74,95,1.64,SO,1729388417
231,la sarre,48.8002,-79.1996,10.22,89,100,1.98,CA,1729388418
232,remire-montjoly,4.9167,-52.2667,25.02,94,0,1.03,GF,1729388250
233,verdal,63.7933,11.4817,10.57,93,100,0.69,NO,1729388421
234,belousovka,50.1339,82.5239,-5.53,100,100,1.0,KZ,1729388422
235,i-n-salah,27.1935,2.4607,20.7,23,62,4.91,DZ,1729388423
236,kristiansund,63.1115,7.732,10.63,93,75,3.09,NO,1729388424
237,chonchi,-42.6128,-73.8092,11.18,95,46,0.6,CL,1729388425
238,sisimiut,66.9395,-53.6735,-3.83,68,100,6.71,GL,1729388427
239,kudat,6.8837,116.8477,29.05,79,20,3.13,MY,1729388428
240,georgetown,5.4112,100.3354,26.64,88,40,1.54,MY,1729388430
241,olonkinbyen,70.9221,-8.7187,2.81,90,90,10.27,SJ,1729388431
242,progresso,-29.2442,-52.3122,14.31,99,63,1.31,BR,1729388432
243,port saint john's,-31.6229,29.5448,17.06,92,100,7.95,ZA,1729388434
244,aver-o-mar,41.4078,-8.7812,18.31,94,75,5.66,PT,1729388435
245,kingston,17.997,-76.7936,27.53,94,20,3.09,JM,1729388197
246,glace bay,46.1969,-59.957,10.09,82,20,3.09,CA,1729388438
247,ladysmith,48.9829,-123.8194,14.7,94,100,1.03,CA,1729388439
248,korneuburg,48.35,16.3333,10.83,77,66,2.24,AT,1729388441
249,jember,-8.166,113.7032,33.26,47,21,0.93,ID,1729388442
250,nizhnyaya tavda,57.6731,66.1725,2.84,69,99,4.36,RU,1729388443
251,naranjal,-2.6667,-79.6167,23.48,88,90,1.64,EC,1729388429
252,frontera,26.9333,-101.45,24.07,69,30,3.13,MX,1729388445
253,kerikeri,-35.2268,173.9474,17.47,54,3,4.23,NZ,1729388446
254,el carril,-25.0741,-65.4917,21.47,69,91,1.56,AR,1729388448
255,yardimli,38.9206,48.2372,7.87,99,100,1.82,AZ,1729388449
256,verkhnevilyuysk,63.4453,120.3167,-9.58,90,100,2.51,RU,1729388450
257,arauco,-37.2463,-73.3175,10.49,88,99,3.19,CL,1729388451
258,montero,-17.3333,-63.25,24.07,51,5,1.91,BO,1729388452
259,greenland,43.0362,-70.8328,12.49,80,0,2.06,US,1729388453
260,laojunmiao,39.8333,97.7333,4.01,55,70,3.01,CN,1729388456
261,weno,7.4515,151.8468,30.97,74,75,2.57,FM,1729388457
262,labrador city,52.9463,-66.9114,5.66,81,100,31.29,CA,1729388413
263,faridkot,30.6667,74.75,22.88,45,0,2.81,IN,1729388459
264,crane,31.3974,-102.3501,21.28,69,100,9.23,US,1729388460
265,santa ana,33.7456,-117.8678,23.41,42,0,3.09,US,1729388303
266,bouna,9.2667,-3.0,23.47,89,100,1.94,CI,1729388462
267,yuzha,56.5831,42.0122,5.09,76,100,1.63,RU,1729388464
268,hamilton,39.1834,-84.5333,13.8,73,0,0.45,US,1729388316
269,taksimo,56.3444,114.8794,-6.5,63,93,0.44,RU,1729388466
270,taro,-8.3862,115.28,28.04,59,63,1.84,ID,1729388467
271,poyarkovo,49.6,128.6833,4.09,19,0,8.49,RU,1729388468
272,christchurch,-43.5333,172.6333,20.11,49,96,2.57,NZ,1729387919
273,banff,51.1762,-115.5698,5.21,93,100,3.09,CA,1729388470
274,constantia,44.1833,28.65,4.38,70,21,5.46,RO,1729388472
275,egilsstadir,65.2653,-14.3948,6.95,76,0,6.17,IS,1729388473
276,grandview,38.8858,-94.533,17.73,48,0,1.54,US,1729388474
277,lang suan,9.9456,99.0785,25.06,93,100,3.08,TH,1729388477
278,cabo san lucas,22.8909,-109.9124,29.17,61,0,2.57,MX,1729388375
279,alice springs,-23.7,133.8833,28.75,20,0,6.69,AU,1729388479
280,sovetskaya gavan',48.9723,140.2878,2.05,30,0,6.98,RU,1729388480
281,isafjordur,66.0755,-23.124,-0.92,98,100,4.66,IS,1729388481
282,kingscliff,-28.2667,153.5667,24.97,73,100,5.66,AU,1729388482
283,smara,26.7384,-11.6719,21.33,57,0,3.13,EH,1729388483
284,bonthe,7.5264,-12.505,24.59,89,93,1.88,SL,1729388485
